CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
MISDEMEANOR ASSAULT,08/22/2014 08:05:00 PM,14-042762,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,33X,62ND AVE / AVENAL AVE,Oakland,CA,"62ND AVE / AVENAL AVE
Oakland, CA
(37.80508210800048, -122.27306651899971)"
DOMESTIC VIOLENCE,08/23/2014 12:00:00 AM,14-042765,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,9600 D ST,Oakland,CA,"9600 D ST
Oakland, CA
(37.74348926900046, -122.17682475399971)"
VANDALISM,08/23/2014 12:00:00 AM,14-042774,VANDALISM,19X,1000 5TH AV,Oakland,CA,"1000 5TH AV
Oakland, CA
(37.793750780000494, -122.25657925399969)"
RECOVERED O/S STOLEN,08/23/2014 09:54:00 AM,14-042745,VEHICLE THEFT - AUTO,18Y,2400 WALLACE ST,Oakland,CA,"2400 WALLACE ST
Oakland, CA
(37.795066120000456, -122.23608112499971)"
BURG - COMMERCIAL,08/20/2014 03:00:00 PM,14-042687,BURGLARY-FORCIBLE ENTRY,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.74690486200046, -122.2008642019997)"
DOMESTIC VIOLENCE,08/22/2014 10:00:00 PM,14-042688,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,1000 SAN PABLO,Oakland,CA,"1000 SAN PABLO
Oakland, CA
(37.85030329600045, -122.28614214099969)"
STOLEN VEHICLE,08/23/2014 01:00:00 AM,14-042718,VEHICLE THEFT - AUTO,24Y,4000 BROOKDALE AV,Oakland,CA,"4000 BROOKDALE AV
Oakland, CA
(37.783982757000445, -122.2057804429997)"
BURG - RESIDENTIAL,08/22/2014 02:00:00 PM,14-042730,BURGLARY-FORCIBLE ENTRY,28X,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.78466490700049, -122.19994643999968)"
STOLEN VEHICLE,08/22/2014 11:00:00 PM,14-042731,VEHICLE THEFT - AUTO,35X,9300 MACARTHUR BLVD,Oakland,CA,"9300 MACARTHUR BLVD
Oakland, CA
(37.75347838400046, -122.16053323399973)"
STOLEN VEHICLE,08/22/2014 09:00:00 PM,14-042736,VEHICLE THEFT - AUTO,24X,4000 LYON AV,Oakland,CA,"4000 LYON AV
Oakland, CA
(37.78306323600049, -122.2074892769997)"
MISDEMEANOR ASSAULT,08/23/2014 09:00:00 AM,14-042738,DISTURB THE PEACE,17Y,3200 PARK BLVD,Oakland,CA,"3200 PARK BLVD
Oakland, CA
(37.80316364000049, -122.23627673399972)"
PETTY THEFT,08/25/2014 08:30:00 PM,14-043212,THEFT,01X,300 BROADWAY,Oakland,CA,"300 BROADWAY
Oakland, CA
(37.796933252000485, -122.27577234499972)"
MISDEMEANOR ASSAULT,08/26/2014 07:16:00 AM,14-043213,FIGHT/CHALLENGE FIGHT AT SCHOOL/UNIVERSITY/ETC,35X,8200 FONTAINE ST,Oakland,CA,"8200 FONTAINE ST
Oakland, CA
(37.76773727100044, -122.1537465289997)"
STOLEN VEHICLE,08/25/2014 09:00:00 PM,14-043216,VEHICLE THEFT - AUTO,22X,3400 CHAMPION ST,Oakland,CA,"3400 CHAMPION ST
Oakland, CA
(37.798380491000444, -122.21532955699968)"
STOLEN VEHICLE,08/25/2014 08:30:00 PM,14-043217,VEHICLE THEFT - AUTO,26X,3400 PIERSON ST,Oakland,CA,"3400 PIERSON ST
Oakland, CA
(37.78186132200045, -122.19036089699972)"
GRAND THEFT,08/26/2014 05:52:00 AM,14-043219,ATTEMPTED GRAND THEFT,01X,200 2ND ST.,Oakland,CA,"200 2ND ST.
Oakland, CA
(37.793767535000484, -122.27048129699972)"
STOLEN VEHICLE,08/22/2014 12:15:00 AM,14-042536,VEHICLE THEFT - AUTO,27Y,1400 50TH AV,Oakland,CA,"1400 50TH AV
Oakland, CA
(37.76952514800047, -122.20860979799971)"
BURG - RESIDENTIAL,08/20/2014 11:00:00 AM,14-042550,BURGLARY-FORCIBLE ENTRY,32X,9900 HOLLY ST,Oakland,CA,"9900 HOLLY ST
Oakland, CA
(37.74394787800048, -122.16855943599973)"
WEAPONS,08/22/2014 01:20:00 PM,14-042576,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,35X,8300 GOLF LINKS RD,Oakland,CA,"8300 GOLF LINKS RD
Oakland, CA
(37.76236595000046, -122.16284642299968)"
STOLEN VEHICLE,08/22/2014 09:30:00 AM,14-042579,VEHICLE THEFT - AUTO,21Y,2700 SCHOOL ST,Oakland,CA,"2700 SCHOOL ST
Oakland, CA
(37.795801353000456, -122.21782848799972)"
