CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DRUNKENNESS,11/06/2014 10:21:00 PM,14-056827,DISORDERLY CONDUCT:TOLUENE,06X,3100 SAN PABLO AV,Oakland,CA,"3100 SAN PABLO AV
Oakland, CA
(37.82171998600046, -122.27677713499969)"
,11/09/2014 11:00:00 PM,14-913540,THEFT,10Y,800 54TH ST,Oakland,CA,"800 54TH ST
Oakland, CA
(37.838892786000486, -122.26970427899971)"
,11/11/2014 01:00:00 AM,14-913528,GRAND THEFT,03X,600 WEBSTER ST,Oakland,CA,"600 WEBSTER ST
Oakland, CA
(37.79794799500047, -122.2721325489997)"
STOLEN AND RECOVERED VEHICLE,11/10/2014 09:00:00 PM,14-057589,VEHICLE THEFT - AUTO,25Y,600 CANYON OAKS DR,Oakland,CA,"600 CANYON OAKS DR
Oakland, CA
(37.77333517800048, -122.14673282499967)"
VANDALISM,09/28/2014 07:00:00 PM,14-049931,VANDALISM,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.78557866700049, -122.2219780689997)"
PETTY THEFT,10/10/2014 12:00:00 AM,14-052407,THEFT,20X,1600 FRUITVALE AV,Oakland,CA,"1600 FRUITVALE AV
Oakland, CA
(37.780397511000444, -122.2244059459997)"
VANDALISM,11/09/2014 04:00:00 PM,14-913406,VANDALISM,25Y,12500 SKYLINE BLVD,Oakland,CA,"12500 SKYLINE BLVD
Oakland, CA
(37.79517847700049, -122.15958956699973)"
BURG - AUTO,11/07/2014 09:00:00 PM,14-913408,BURGLARY-AUTO,17X,500 E 20TH ST,Oakland,CA,"500 E 20TH ST
Oakland, CA
(37.79966051100047, -122.2481588869997)"
BURG - AUTO,11/09/2014 01:45:00 PM,14-913402,BURGLARY-AUTO,26X,6200 SAN LEANDRO ST,Oakland,CA,"6200 SAN LEANDRO ST
Oakland, CA
(37.759142522000445, -122.20348916499972)"
PETTY THEFT,11/11/2014 08:24:00 PM,14-057701,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.76816768900045, -122.2236592479997)"
,11/11/2014 03:00:00 AM,14-913535,GRAND THEFT,11X,600 60TH ST,Oakland,CA,"600 60TH ST
Oakland, CA
(37.84588410700047, -122.26536462999968)"
FELONY ASSAULT,11/07/2014 07:43:00 PM,14-056983,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,33X,1200 95TH AV,Oakland,CA,"1200 95TH AV
Oakland, CA
(37.744965342000455, -122.17519773199967)"
BURG - AUTO,11/09/2014 06:45:00 PM,14-913403,BURGLARY-AUTO,26Y,7100 HAWLEY ST,Oakland,CA,"7100 HAWLEY ST
Oakland, CA
(37.75341491600045, -122.19302796399973)"
BURG - AUTO,11/07/2014 10:20:00 PM,14-913391,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA,"500 17TH ST
Oakland, CA
(37.806857710000486, -122.27037362899972)"
PETTY THEFT,11/11/2014 06:20:00 PM,14-057677,ATTEMPT THEFT,25X,4700 MACARTHUR BLVD,Oakland,CA,"4700 MACARTHUR BLVD
Oakland, CA
(37.78526755100046, -122.19034447599972)"
VANDALISM,11/09/2014 07:30:00 PM,14-913395,VANDALISM,12X,4300 TELEGRAPH AV,Oakland,CA,"4300 TELEGRAPH AV
Oakland, CA
(37.83175175200046, -122.26370680199972)"
STOLEN VEHICLE,11/10/2014 08:15:00 PM,14-057587,VEHICLE THEFT - AUTO,12Y,5200 LOCKSLEY AV,Oakland,CA,"5200 LOCKSLEY AV
Oakland, CA
(37.83833532400047, -122.25792994999972)"
,11/05/2014 12:00:00 PM,14-913539,VANDALISM,29X,3900 EDENVALE PLACE,Oakland,CA,"3900 EDENVALE PLACE
Oakland, CA
(37.77784570300048, -122.17178582499969)"
BURG - AUTO,11/07/2014 04:35:00 PM,14-913375,BURGLARY-AUTO,08X,2300 WEBSTER ST,Oakland,CA,"2300 WEBSTER ST
Oakland, CA
(37.812064928000495, -122.2651909169997)"
NARCOTICS,11/11/2014 06:43:00 PM,14-057684,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,27Y,4700 INTERNATIONAL BLVD,Oakland,CA,"4700 INTERNATIONAL BLVD
Oakland, CA
(37.77041936100045, -122.21064454099968)"
VANDALISM,11/07/2014 07:35:00 AM,14-913378,VANDALISM,31X,700 73RD AV,Oakland,CA,"700 73RD AV
Oakland, CA
(37.75233679000047, -122.19775001299968)"
OTHER,10/15/2014 08:39:00 AM,14-052621,DISTURB THE PEACE,35X,9000 MACARTHUR BLVD,Oakland,CA,"9000 MACARTHUR BLVD
Oakland, CA
(37.75534279200048, -122.16123783799969)"
PETTY THEFT,10/29/2014 10:50:00 AM,14-913399,THEFT,25X,3600 MACARTHUR BLVD,Oakland,CA,"3600 MACARTHUR BLVD
Oakland, CA
(37.79291178800048, -122.19980701499969)"
BURG - AUTO,11/07/2014 12:45:00 PM,14-913376,BURGLARY-AUTO,07X,3700 MANDELA PKWY,Oakland,CA,"3700 MANDELA PKWY
Oakland, CA
(37.828064580000444, -122.28792104099972)"
NARCOTICS,11/11/2014 06:17:00 PM,14-057676,POSSESS NARCOTIC CONTROLLED SUBSTANCE,33X,1000 82ND AV,Oakland,CA,"1000 82ND AV
Oakland, CA
(37.752395255000465, -122.18522603999969)"
GRAND THEFT,11/08/2014 03:00:00 AM,14-913407,GRAND THEFT,10X,1000 ALCATRAZ AV,Oakland,CA,"1000 ALCATRAZ AV
Oakland, CA
(37.84738248700046, -122.2820158719997)"
DOMESTIC VIOLENCE,11/11/2014 07:35:00 PM,14-057692,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32Y,2400 106TH AV,Oakland,CA,"2400 106TH AV
Oakland, CA
(37.742513286000474, -122.15334125099969)"
VANDALISM,11/10/2014 06:00:00 AM,14-913393,VANDALISM,27X,1700 HIGH ST,Oakland,CA,"1700 HIGH ST
Oakland, CA
(37.77398524500046, -122.21260764699969)"
OTHER,10/01/2014 12:00:00 AM,14-052433,DISTURB THE PEACE,30Y,2600 73RD AV,Oakland,CA,"2600 73RD AV
Oakland, CA
(37.76687598100045, -122.17541320799972)"
STOLEN VEHICLE,11/09/2014 03:00:00 AM,14-913413,ATTEMPT VEHICLE THEFT-AUTO,10X,1000 59TH ST,Oakland,CA,"1000 59TH ST
Oakland, CA
(37.842813152000474, -122.27934815199973)"
BURG - RESIDENTIAL,11/10/2014 10:30:00 AM,14-057455,BURGLARY-FORCIBLE ENTRY,22Y,3300 GEORGIA ST,Oakland,CA,"3300 GEORGIA ST
Oakland, CA
(37.79475313500046, -122.20280986099971)"
GRAND THEFT,11/02/2014 03:40:00 PM,14-913365,GRAND THEFT,31X,300 HEGENBERGER RD,Oakland,CA,"300 HEGENBERGER RD
Oakland, CA
(37.734686988000476, -122.19756928299972)"
DOMESTIC VIOLENCE,11/08/2014 12:01:00 AM,14-057569,THREAT CRIME:INT:TERRORIZE,30Y,2600 74TH AV,Oakland,CA,"2600 74TH AV
Oakland, CA
(37.76629869900046, -122.17490773799972)"
,11/11/2014 06:30:00 PM,14-913545,BURGLARY-AUTO,,MACARTHUR/GRAND AVE,Oakland,CA,"MACARTHUR/GRAND AVE
Oakland, CA
(37.80508210800048, -122.27306651899971)"
ROBBERY,11/03/2014 08:50:00 PM,14-056756,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,1000 JACKSON ST,Oakland,CA,"1000 JACKSON ST
Oakland, CA
(37.79929150300046, -122.26686491299972)"
VANDALISM,11/04/2014 10:00:00 PM,14-913380,VANDALISM,33X,1100 83RD AV,Oakland,CA,"1100 83RD AV
Oakland, CA
(37.75253468200049, -122.18309777599973)"
BURG - COMMERCIAL,11/10/2014 05:00:00 AM,14-057651,BURGLARY-NO FORCE,24X,4200 FOOTHILL BLVD,Oakland,CA,"4200 FOOTHILL BLVD
Oakland, CA
(37.775783119000494, -122.21300985899973)"
BURG - AUTO,10/08/2014 05:30:00 AM,14-913389,BURGLARY-AUTO,13Z,2100 MOUNTAIN BLVD,Oakland,CA,"2100 MOUNTAIN BLVD
Oakland, CA
(37.82492307400048, -122.20944647399972)"
GRAND THEFT,11/08/2014 01:30:00 PM,14-913400,GRAND THEFT,19X,100 EMBARCADERO COVE,Oakland,CA,"100 EMBARCADERO COVE
Oakland, CA
(37.792691851000484, -122.27019111699968)"
DOMESTIC VIOLENCE,11/09/2014 10:49:00 PM,14-057366,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,6800 ARTHUR ST,Oakland,CA,"6800 ARTHUR ST
Oakland, CA
(37.76643235200049, -122.18308740599969)"
BURG - AUTO,11/09/2014 07:30:00 PM,14-913396,BURGLARY-AUTO,12X,4300 TELEGRAPH AV,Oakland,CA,"4300 TELEGRAPH AV
Oakland, CA
(37.83175175200046, -122.26370680199972)"
BURG - AUTO,11/11/2014 04:40:00 PM,14-057664,BURGLARY-AUTO,22Y,4100 REDWOOD RD,Oakland,CA,"4100 REDWOOD RD
Oakland, CA
(37.79760848900048, -122.1830528369997)"
BURG - AUTO,11/07/2014 12:35:00 PM,14-913363,BURGLARY-AUTO,31Y,200 HEGENBERGER RD,Oakland,CA,"200 HEGENBERGER RD
Oakland, CA
(37.73116446300048, -122.19923087399968)"
DOMESTIC VIOLENCE,11/10/2014 10:11:00 PM,14-057549,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24X,1900 40TH AV,Oakland,CA,"1900 40TH AV
Oakland, CA
(37.77786305300049, -122.2152359969997)"
ROBBERY,11/10/2014 09:30:00 PM,14-057547,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02Y,900 CENTER ST,Oakland,CA,"900 CENTER ST
Oakland, CA
(37.80725226900046, -122.29419404799972)"
STOLEN VEHICLE,11/09/2014 11:00:00 PM,14-057429,VEHICLE THEFT - AUTO,30Y,2400 80TH AV,Oakland,CA,"2400 80TH AV
Oakland, CA
(37.762828096000476, -122.1685036019997)"
BURG - COMMERCIAL,11/11/2014 03:05:00 AM,14-057584,BURGLARY-NO FORCE,09X,5100 BROADWAY,Oakland,CA,"5100 BROADWAY
Oakland, CA
(37.83539411400045, -122.25164125899971)"
VANDALISM,11/02/2014 10:45:00 AM,14-913392,VANDALISM,22X,4700 LINCOLN AV,Oakland,CA,"4700 LINCOLN AV
Oakland, CA
(37.810323919000496, -122.2002644699997)"
BURG - AUTO,10/31/2014 04:05:00 PM,14-913412,BURGLARY-AUTO,02X,500 UNION ST,Oakland,CA,"500 UNION ST
Oakland, CA
(37.80354346600046, -122.29081749199969)"
VANDALISM,11/09/2014 10:00:00 PM,14-913397,VANDALISM,32X,1100 100TH AV,Oakland,CA,"1100 100TH AV
Oakland, CA
(37.74010501800046, -122.17414800299969)"
PETTY THEFT,10/01/2014 09:10:00 AM,14-049864,THEFT PERSONAL PROPERTY/PETTY THEFT,25X,3800 REDDING ST,Oakland,CA,"3800 REDDING ST
Oakland, CA
(37.791161472000454, -122.1995673399997)"
VANDALISM,11/09/2014 04:10:00 PM,14-913409,VANDALISM,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.76816768900045, -122.2236592479997)"
FRAUD,11/10/2014 10:31:00 AM,14-057434,GET CREDIT/ETC OTHER'S ID,18Y,1400 E 22ND ST,Oakland,CA,"1400 E 22ND ST
Oakland, CA
(37.79444155200048, -122.23891805299968)"
BURG - AUTO,11/06/2014 11:35:00 PM,14-913372,BURGLARY-AUTO,32X,10900 INTERNATIONAL BLVD,Oakland,CA,"10900 INTERNATIONAL BLVD
Oakland, CA
(37.73669481900049, -122.16473443499973)"
BURG - RESIDENTIAL,11/11/2014 05:45:00 PM,14-057694,BURGLARY-FORCIBLE ENTRY,07X,2900 MYRTLE ST,Oakland,CA,"2900 MYRTLE ST
Oakland, CA
(37.82019284000046, -122.27768134999968)"
MISDEMEANOR ASSAULT,11/11/2014 01:20:00 PM,14-057634,BATTERY,12X,500 40TH ST,Oakland,CA,"500 40TH ST
Oakland, CA
(37.82925821300046, -122.26485562799968)"
BURG - AUTO,11/11/2014 04:00:00 AM,14-057577,BURGLARY-AUTO,26Y,800 69TH AV,Oakland,CA,"800 69TH AV
Oakland, CA
(37.755656212000474, -122.19801406399972)"
,11/11/2014 02:15:00 PM,14-913538,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22Y,4100 NORTON AVE,Oakland,CA,"4100 NORTON AVE
Oakland, CA
(37.79972407800045, -122.1960183119997)"
BURG - AUTO,11/09/2014 09:00:00 PM,14-913382,BURGLARY-AUTO,08X,3000 TELEGRAPH AV,Oakland,CA,"3000 TELEGRAPH AV
Oakland, CA
(37.81948669500048, -122.2670103699997)"
PETTY THEFT,10/08/2014 12:00:00 AM,14-052583,THEFT,03Y,400 7TH ST,Oakland,CA,"400 7TH ST
Oakland, CA
(37.79908413700048, -122.27306541999968)"
NARCOTICS,11/10/2014 04:23:00 PM,14-057496,POSSESS NARCOTIC CONTROLLED SUBSTANCE,31Z,600 CAPISTRANO DR,Oakland,CA,"600 CAPISTRANO DR
Oakland, CA
(37.73113490200046, -122.17841009999972)"
MISDEMEANOR ASSAULT,11/11/2014 12:30:00 PM,14-057655,BATTERY,14X,300 ADAMS ST,Oakland,CA,"300 ADAMS ST
Oakland, CA
(37.81414317400049, -122.25624666499971)"
BURG - AUTO,11/07/2014 05:00:00 AM,14-913384,BURGLARY-AUTO,14X,300 BELMONT ST,Oakland,CA,"300 BELMONT ST
Oakland, CA
(37.809861905000446, -122.25558251899969)"
OTHER,10/14/2014 09:05:00 AM,14-052428,DISTURB THE PEACE,30Y,7300 BANCROFT AV,Oakland,CA,"7300 BANCROFT AV
Oakland, CA
(37.76613920700049, -122.1764605789997)"
STOLEN VEHICLE,11/08/2014 07:30:00 PM,14-057346,VEHICLE THEFT - AUTO,33X,1200 91ST AV,Oakland,CA,"1200 91ST AV
Oakland, CA
(37.747614834000444, -122.17737322499971)"
,11/11/2014 12:00:00 AM,14-913541,BURGLARY-AUTO,08X,2200 TELEGRAPH AVE,Oakland,CA,"2200 TELEGRAPH AVE
Oakland, CA
(37.811541881000494, -122.26904647699968)"
DOMESTIC VIOLENCE,11/11/2014 01:20:00 AM,14-057566,EXHIBIT FIREARM,27X,5000 FAIRFAX AV,Oakland,CA,"5000 FAIRFAX AV
Oakland, CA
(37.77687723000048, -122.20138891299968)"
THREATS,11/11/2014 09:00:00 PM,14-057712,THREAT CRIME:INT:TERRORIZE,30Y,7900 NEY AV,Oakland,CA,"7900 NEY AV
Oakland, CA
(37.76592073900048, -122.16572597599969)"
FELONY ASSAULT,11/07/2014 02:59:00 PM,14-056953,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.76191338400048, -122.19552711999972)"
,11/12/2014 01:00:00 PM,14-913613,BURGLARY-AUTO,08X,500 24TH ST,Oakland,CA,"500 24TH ST
Oakland, CA
(37.81348939300045, -122.26868922799969)"
PETTY THEFT,11/02/2014 08:00:00 PM,14-913430,THEFT,02Y,1400 7TH ST,Oakland,CA,"1400 7TH ST
Oakland, CA
(37.80514786900045, -122.29404292599969)"
,11/12/2014 03:10:00 PM,14-913603,BURGLARY-AUTO,12X,4900 TELEGRAPH AVE,Oakland,CA,"4900 TELEGRAPH AVE
Oakland, CA
(37.83610161500047, -122.26253608499968)"
STOLEN VEHICLE,11/08/2014 08:00:00 PM,14-057258,VEHICLE THEFT - AUTO,32Y,2100 104TH AV,Oakland,CA,"2100 104TH AV
Oakland, CA
(37.74209151600047, -122.15952849399969)"
NARCOTICS,11/12/2014 06:03:00 PM,14-057873,POSSESS NARCOTIC CONTROLLED SUBSTANCE,04X,1500 HARRISON ST,Oakland,CA,"1500 HARRISON ST
Oakland, CA
(37.80396332300046, -122.26690207999968)"
MISDEMEANOR ASSAULT,11/06/2014 06:00:00 PM,14-057568,BATTERY,29X,5600 BANCROFT AV,Oakland,CA,"5600 BANCROFT AV
Oakland, CA
(37.77145745400048, -122.19570604299969)"
,11/12/2014 05:45:00 PM,14-913589,BURGLARY-AUTO,12X,4900 TELEGRAPH AVE,Oakland,CA,"4900 TELEGRAPH AVE
Oakland, CA
(37.83610161500047, -122.26253608499968)"
,11/11/2014 11:30:00 AM,14-913580,BURGLARY-AUTO,22X,4200 COOLIDGE AVE,Oakland,CA,"4200 COOLIDGE AVE
Oakland, CA
(37.80555462500047, -122.20171519399969)"
,11/11/2014 06:30:00 PM,14-913590,VANDALISM,,1900 LAKESIDE DRIVE,Oakland,CA,"1900 LAKESIDE DRIVE
Oakland, CA
(37.806193288000486, -122.26283599899972)"
,11/12/2014 04:11:00 PM,14-057848,MURDER,30X,6900 WELD ST,Oakland,CA,"6900 WELD ST
Oakland, CA
(37.76463743400046, -122.1839647709997)"
,11/09/2014 01:00:00 AM,14-913617,BURGLARY-AUTO,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.79618311600046, -122.27776233599968)"
,11/12/2014 04:50:00 PM,14-913608,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,09X,00 WESTALL AVE,Oakland,CA,"00 WESTALL AVE
Oakland, CA
(37.822103135000475, -122.25747252499968)"
OTHER,11/07/2014 03:40:00 PM,14-056950,CRUELTY TO ELDER/DEPENDENT ADULT,06X,600 31ST ST,Oakland,CA,"600 31ST ST
Oakland, CA
(37.820555415000456, -122.2703909549997)"
,11/12/2014 03:35:00 PM,14-913604,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,CALIFORNIA ST,Oakland,CA,"CALIFORNIA ST
Oakland, CA
(37.847095210000475, -122.27560360499967)"
ROBBERY,10/26/2014 09:42:00 AM,14-056788,ROBBERY-KNIFE OR CUTTING INSTRUMENT,04X,500 19TH ST,Oakland,CA,"500 19TH ST
Oakland, CA
(37.798962420000464, -122.24903940699971)"
VANDALISM,11/12/2014 08:11:00 PM,14-057695,VANDALISM-$400,12X,500 48TH ST,Oakland,CA,"500 48TH ST
Oakland, CA
(37.835076642000445, -122.26297307199968)"
MISDEMEANOR ASSAULT,09/20/2014 08:00:00 PM,14-056906,BATTERY,21X,2500 E 27TH ST,Oakland,CA,"2500 E 27TH ST
Oakland, CA
(37.79226510500047, -122.22391353899968)"
STOLEN VEHICLE,11/08/2014 09:00:00 AM,14-057291,VEHICLE THEFT - AUTO,29X,5800 PICARDY DR,Oakland,CA,"5800 PICARDY DR
Oakland, CA
(37.773903962000475, -122.1887445379997)"
BURG - AUTO,10/30/2014 03:15:00 PM,14-055432,BURGLARY-AUTO,02X,900 MYRTLE ST,Oakland,CA,"900 MYRTLE ST
Oakland, CA
(37.80474259800047, -122.28332871199973)"
,11/12/2014 06:15:00 PM,14-913592,BURGLARY-AUTO,05Y,1700 17TH ST,Oakland,CA,"1700 17TH ST
Oakland, CA
(37.81473383500048, -122.29497458099968)"
,11/10/2014 01:15:00 PM,14-913596,BURGLARY-AUTO,31Y,200 HEGENBERGER ROAD,Oakland,CA,"200 HEGENBERGER ROAD
Oakland, CA
(37.73116446300048, -122.19923087399968)"
,11/11/2014 09:10:00 PM,14-913586,BURGLARY-AUTO,19X,300 EMBARCADERO,Oakland,CA,"300 EMBARCADERO
Oakland, CA
(37.79071341300045, -122.26178897199969)"
,11/10/2014 01:30:00 PM,14-913606,BURGLARY-AUTO,31Y,200 HEGENBERGER ROAD,Oakland,CA,"200 HEGENBERGER ROAD
Oakland, CA
(37.73116446300048, -122.19923087399968)"
,11/12/2014 02:45:00 PM,14-913616,THEFT,10Y,1000 42ND ST,Oakland,CA,"1000 42ND ST
Oakland, CA
(37.832928232000484, -122.2769050389997)"
BURG - RESIDENTIAL,11/08/2014 11:00:00 AM,14-057457,ATTEMPTED BURGLARY,02Y,900 CAMPBELL VILLAGE CT,Oakland,CA,"900 CAMPBELL VILLAGE CT
Oakland, CA
(37.80782885800045, -122.29943199199971)"
BURG - AUTO,11/09/2014 06:30:00 PM,14-913414,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA,"400 HEGENBERGER RD
Oakland, CA
(37.736277206000466, -122.19687663099972)"
BURG - AUTO,11/03/2014 08:15:00 PM,14-913415,BURGLARY-AUTO,14Y,700 WALKER AV,Oakland,CA,"700 WALKER AV
Oakland, CA
(37.81150863500045, -122.24684288099968)"
,11/12/2014 05:00:00 AM,14-913640,THEFT,34X,1900 90TH AVE,Oakland,CA,"1900 90TH AVE
Oakland, CA
(37.75213601700045, -122.1688218709997)"
OTHER,11/05/2014 06:48:00 AM,14-056481,CRUELTY TO ELDER/DEPENDANT ADULT:GBI/DEATH LIKELY,13Y,300 CALDECOTT LN,Oakland,CA,"300 CALDECOTT LN
Oakland, CA
(37.85664219100045, -122.22134431399968)"
BURG - RESIDENTIAL,11/09/2014 09:00:00 PM,14-057422,BURGLARY-NO FORCE,24X,2100 BAXTER ST,Oakland,CA,"2100 BAXTER ST
Oakland, CA
(37.78372927100048, -122.2157290399997)"
BURG - RESIDENTIAL,11/05/2014 09:30:00 AM,14-056509,ATTEMPTED BURGLARY,29X,5600 S PICARDY DR,Oakland,CA,"5600 S PICARDY DR
Oakland, CA
(37.77546278500046, -122.19032949699971)"
,11/11/2014 10:00:00 PM,14-913602,VANDALISM,03X,400 12TH ST,Oakland,CA,"400 12TH ST
Oakland, CA
(37.795653067000444, -122.2554092209997)"
,11/12/2014 03:00:00 PM,14-913643,BURGLARY-FORCIBLE ENTRY,08X,2300 VALLEY ST,Oakland,CA,"2300 VALLEY ST
Oakland, CA
(37.811817273000486, -122.26775135099967)"
DOMESTIC VIOLENCE,11/12/2014 08:00:00 PM,14-057908,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,08X,2800 HARRISON ST,Oakland,CA,"2800 HARRISON ST
Oakland, CA
(37.8153792600005, -122.2588883999997)"
,11/12/2014 02:20:00 PM,14-913601,BURGLARY-AUTO,16X,3400 LAKESHORE AVE,Oakland,CA,"3400 LAKESHORE AVE
Oakland, CA
(37.811135125000476, -122.24287815699972)"
,11/09/2014 10:00:00 PM,14-913598,GRAND THEFT,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813460430000475, -122.2648268209997)"
,11/10/2014 12:00:00 PM,14-913578,THEFT,16Y,3700 13TH AVE,Oakland,CA,"3700 13TH AVE
Oakland, CA
(37.80334714500049, -122.23011343099972)"
,11/13/2014 05:30:00 AM,14-913623,VANDALISM,04X,1700 MARTIN LUTHER KING JR W,Oakland,CA,"1700 MARTIN LUTHER KING JR W
Oakland, CA
(37.80508210800048, -122.27306651899971)"
MISDEMEANOR ASSAULT,10/30/2014 05:15:00 PM,14-055550,THREAT CRIME:INT:TERRORIZE,21Y,3100 BROOKDALE AV,Oakland,CA,"3100 BROOKDALE AV
Oakland, CA
(37.79174017900044, -122.21468245999972)"
,11/09/2014 10:00:00 AM,14-913577,GRAND THEFT,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813460430000475, -122.2648268209997)"
BURG - AUTO,11/08/2014 01:20:00 PM,14-913457,BURGLARY-AUTO,01X,200 WEBSTER ST,Oakland,CA,"200 WEBSTER ST
Oakland, CA
(37.79543413300047, -122.27369132499967)"
,11/11/2014 09:00:00 PM,14-913614,BURGLARY-AUTO,04X,1600 BROADWAY,Oakland,CA,"1600 BROADWAY
Oakland, CA
(37.80614344100047, -122.27002245899968)"
MISDEMEANOR ASSAULT,11/11/2014 08:25:00 PM,14-057697,BATTERY,12X,5000 TELEGRAPH AV,Oakland,CA,"5000 TELEGRAPH AV
Oakland, CA
(37.83650376200046, -122.26244505399973)"
STOLEN VEHICLE,11/05/2014 10:30:00 PM,14-056654,VEHICLE THEFT - AUTO,34X,9200 SUNNYSIDE ST,Oakland,CA,"9200 SUNNYSIDE ST
Oakland, CA
(37.752170082000475, -122.16605134799971)"
THREATS,11/12/2014 10:27:00 AM,14-057782,THREAT CRIME:INT:TERRORIZE,34X,1400 89TH AV,Oakland,CA,"1400 89TH AV
Oakland, CA
(37.7503827540005, -122.17475164499967)"
,11/12/2014 07:30:00 PM,14-913629,VANDALISM,,1700 CLAY ST,Oakland,CA,"1700 CLAY ST
Oakland, CA
(37.80063611100047, -122.27647322099972)"
GRAND THEFT,10/22/2014 07:00:00 AM,14-056715,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,21Y,2600 PLEASANT ST,Oakland,CA,"2600 PLEASANT ST
Oakland, CA
(37.79712623300048, -122.2173084909997)"
NARCOTICS,10/21/2014 07:39:00 PM,14-053787,POSSESS/PURCHASE COCAINE BASE FOR SALE,07X,800 MEAD AV,Oakland,CA,"800 MEAD AV
Oakland, CA
(37.816436773000476, -122.27535585799973)"
PETTY THEFT,10/08/2014 08:00:00 PM,14-057951,THEFT,34X,9400 OLIVE ST,Oakland,CA,"9400 OLIVE ST
Oakland, CA
(37.75015052900045, -122.16598958199972)"
STOLEN VEHICLE,11/08/2014 08:50:00 PM,14-057266,VEHICLE THEFT - AUTO,29X,5600 LAVERNE AV,Oakland,CA,"5600 LAVERNE AV
Oakland, CA
(37.77279294800047, -122.19433021899971)"
BURG - RESIDENTIAL,11/05/2014 12:45:00 AM,14-913494,BURGLARY-FORCIBLE ENTRY,18X,2200 E 19TH ST,Oakland,CA,"2200 E 19TH ST
Oakland, CA
(37.78786667000048, -122.23460614599969)"
,11/12/2014 12:00:00 PM,14-913618,BURGLARY-FORCIBLE ENTRY,14X,300 VERNON ST,Oakland,CA,"300 VERNON ST
Oakland, CA
(37.81473485400045, -122.25701550199972)"
,11/12/2014 01:15:00 PM,14-913609,VANDALISM,04X,1400 ALICE ST,Oakland,CA,"1400 ALICE ST
Oakland, CA
(37.802481972000464, -122.26635074499973)"
STOLEN VEHICLE,11/10/2014 03:00:00 AM,14-057454,VEHICLE THEFT - AUTO,20X,300 CHANNEL WY,Oakland,CA,"300 CHANNEL WY
Oakland, CA
(37.7718688490005, -122.23415422499971)"
RECOVERED O/S STOLEN,11/06/2014 02:28:00 PM,14-056759,VEHICLE THEFT - AUTO,27Y,5800 HARMON AV,Oakland,CA,"5800 HARMON AV
Oakland, CA
(37.76902535300047, -122.19571040299968)"
,11/11/2014 04:30:00 PM,14-913581,GRAND THEFT,03Y,1300 CLAY ST,Oakland,CA,"1300 CLAY ST
Oakland, CA
(37.80465354000046, -122.27397248199969)"
,11/11/2014 02:10:00 PM,14-913579,BURGLARY-AUTO,01X,200 WEBSTER ST,Oakland,CA,"200 WEBSTER ST
Oakland, CA
(37.79543413300047, -122.27369132499967)"
MISDEMEANOR ASSAULT,11/12/2014 09:40:00 AM,14-057773,BATTERY,31Y,9900 HESKET RD,Oakland,CA,"9900 HESKET RD
Oakland, CA
(37.73016004800047, -122.18867943599969)"
MISDEMEANOR ASSAULT,11/01/2014 02:16:00 PM,14-055812,BATTERY,21Y,2500 34TH AV,Oakland,CA,"2500 34TH AV
Oakland, CA
(37.787551374000486, -122.2167939529997)"
,11/12/2014 04:30:00 PM,14-913611,BURGLARY-AUTO,,200 BAY PLACE,Oakland,CA,"200 BAY PLACE
Oakland, CA
(37.812430580000466, -122.26096322099971)"
BURG - AUTO,11/08/2014 01:40:00 PM,14-913416,BURGLARY-AUTO,04X,1400 WEBSTER ST,Oakland,CA,"1400 WEBSTER ST
Oakland, CA
(37.80344111700049, -122.26871623299968)"
